Timestamp: 1756006245.091411 | Flow Rate: 54.45 GPM
Timestamp: 1756006245.5918267 | Flow Rate: 53.52 GPM
Timestamp: 1756006246.0923154 | Flow Rate: 44.17 GPM
Timestamp: 1756006246.5927026 | Flow Rate: 53.48 GPM
Timestamp: 1756006247.09325 | Flow Rate: 51.68 GPM
Timestamp: 1756006247.5936365 | Flow Rate: 40.85 GPM
Timestamp: 1756006248.0939164 | Flow Rate: 44.11 GPM
Timestamp: 1756006248.5942252 | Flow Rate: 49.89 GPM
Timestamp: 1756006249.0945904 | Flow Rate: 45.0 GPM
Timestamp: 1756006249.5950866 | Flow Rate: 54.28 GPM
Timestamp: 1756006666.4186518 | Flow Rate: 54.46 GPM
Timestamp: 1756006666.9199066 | Flow Rate: 46.15 GPM
Timestamp: 1756006667.4204745 | Flow Rate: 47.13 GPM
Timestamp: 1756006667.9213529 | Flow Rate: 40.5 GPM
Timestamp: 1756006668.4220264 | Flow Rate: 43.14 GPM
Timestamp: 1756006668.9226644 | Flow Rate: 52.3 GPM
Timestamp: 1756006669.423017 | Flow Rate: 44.44 GPM
Timestamp: 1756006669.9239333 | Flow Rate: 51.98 GPM
Timestamp: 1756006670.4245567 | Flow Rate: 54.08 GPM
Timestamp: 1756006670.9247565 | Flow Rate: 51.17 GPM
